doc_id,file_name,ten_van_ban,so_hieu,loai_van_ban,co_quan_ban_hanh,ngay_ban_hanh,ngay_hieu_luc,file_size_bytes,so_trang,trang_trong_rong,extraction_method,status
LAW_15_2023_KCB,LAW_15_2023_KCB.pdf,"Luật Khám bệnh, chữa bệnh",15/2023/QH15,Luật,Quốc hội,2023-01-09,2024-01-01,747957,83,0,pdftotext(poppler)-UTF8-layout,ok
LAW_51_2024_BHYT_AMD,LAW_51_2024_BHYT_AMD.pdf,"Luật sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế",51/2024/QH15,Luật,Quốc hội,2024-11-27,2025-07-01,102428,17,0,pdftotext(poppler)-UTF8-layout,ok
QD_2772_2020_RHMTW,QD_2772_2020_RHMTW.pdf,Quy chế Tổ chức và Hoạt động của Bệnh viện Răng Hàm Mặt Trung ương Hà Nội,2772/QĐ-BYT,Quyết định,Bộ Y tế,2020-07-01,2020-07-01,85862,8,0,pdftotext(poppler)-UTF8-layout,ok
TT_12_2026_BTC,TT_12_2026_BTC.pdf,"Thông tư quy định trình tự, thủ tục giám định chi phí khám bệnh, chữa bệnh bảo hiểm y tế, biểu mẫu tổng hợp thanh toán, quyết toán và biện pháp thi hành Nghị định số 188/2025/NĐ-CP",12/2026/TT-BTC,Thông tư,Bộ Tài chính,2026-02-10,2026-02-10,1122904,56,4,pdftotext(poppler)-UTF8-layout,ok
TT_25_2025_BYT,TT_25_2025_BYT.pdf,"Thông tư quy định chi tiết thi hành Luật Bảo hiểm xã hội, Luật An toàn, vệ sinh lao động thuộc lĩnh vực y tế và một số điều của Luật Khám bệnh, chữa bệnh",25/2025/TT-BYT,Thông tư,Bộ Y tế,2025-06-30,2025-07-01,1029328,74,0,pdftotext(poppler)-UTF8-layout,ok
SOP_01_2026_DENTALTECH,SOP_01_2026_DENTALTECH.pdf,Quy trình vận hành lâm sàng và kiểm soát chất lượng nội bộ - DentalTech JSC,01/2026/QT-DENTALTECH,Quy trình nội bộ,"DentalTech JSC (tự soạn, dựa trên QĐ 2121/QĐ-BYT, TT 16/2018/TT-BYT, QĐ 6858/QĐ-BYT)",2026-07-17,2026-07-17,80737,6,0,pdftotext(poppler)-UTF8-layout,ok
TT_13_2025_BYT_HSBADT,Thong_tu_13_2025_TT_BYT_ho_so_benh_an_dien_tu.pdf,Thông tư hướng dẫn triển khai hồ sơ bệnh án điện tử,13/2025/TT-BYT,Thông tư,Bộ Y tế,2025-06-06,2025-06-06,72058,3,0,pdftotext(poppler)-UTF8-layout,ok
TT_16_2018_BYT_KSNK,Thong_tu_16_2018_TT_BYT_kiem_soat_nhiem_khuan.pdf,"Thông tư quy định về kiểm soát nhiễm khuẩn trong các cơ sở khám bệnh, chữa bệnh",16/2018/TT-BYT,Thông tư,Bộ Y tế,2018-07-20,2018-10-01,88763,10,0,pdftotext(poppler)-UTF8-layout,ok
TT_23_2011_BYT_SDT,Thong_tu_23_2011_TT_BYT_su_dung_thuoc.pdf,Thông tư hướng dẫn sử dụng thuốc trong các cơ sở y tế có giường bệnh,23/2011/TT-BYT,Thông tư,Bộ Y tế,2011-06-10,2011-06-10,78315,5,0,pdftotext(poppler)-UTF8-layout,ok
TT_26_2025_BYT_DT,Thong_tu_26_2025_TT_BYT_don_thuoc.pdf,"Thông tư quy định về đơn thuốc và việc kê đơn thuốc hóa dược, sinh phẩm trong điều trị ngoại trú tại cơ sở khám bệnh, chữa bệnh",26/2025/TT-BYT,Thông tư,Bộ Y tế,2025-06-30,2025-06-30,83175,7,0,pdftotext(poppler)-UTF8-layout,ok
QD_6858_2016_BYT_83TC,Bộ 83 tiêu chí đánh giá chất lượng bệnh viện.pdf,Bộ tiêu chí chất lượng bệnh viện Việt Nam (phiên bản 2.0),6858/QĐ-BYT,Quyết định,Bộ Y tế,2016-11-18,2016-11-18,1547149,151,151,pdftotext(poppler)-UTF8-layout,warning_low_yield
MAU_13_BENH_AN_RHM,13_benh_an_rang_ham_mat_21820259.pdf,Mẫu bệnh án Răng - Hàm - Mặt (nội trú),13/BV-01,Mẫu biểu chuẩn,Bộ Y tế,,,262293,5,1,pdftotext(poppler)-UTF8-layout,ok
MAU_16_BENH_AN_NGOAI_TRU_RHM,16_benh_an_ngoai_tru_rang_ham_mat_21820259.pdf,Mẫu bệnh án ngoại trú chuyên khoa Răng Hàm Mặt,16/BV-01,Mẫu biểu chuẩn,Bộ Y tế,,,190701,4,1,pdftotext(poppler)-UTF8-layout,ok
